"","y","x1","x2","x3","x4","x5"
"1",78.4353733191933,7,26,6,60,60.072167693961
"2",74.43322537568,1,29,15,52,51.591143204193
"3",104.299101253284,11,56,8,20,18.4415733355749
"4",87.5094007233668,11,31,8,47,47.1618280254135
"5",95.8262161681611,7,52,6,33,33.2129383555062
"6",108.964914174524,11,55,9,22,20.8029872610335
"7",102.652445474283,3,71,17,6,6.59830731475878
"8",72.1494959896032,1,31,22,44,44.1003365946311
"9",93.2097967290188,2,54,18,22,22.0301490708364
"10",115.614700056932,21,47,4,26,24.7687142604062
"11",83.838814387836,1,40,23,34,33.767696932183
"12",113.10816941476,11,66,9,12,11.3431803740211
"13",109.892573321973,10,68,8,12,10.7164033113252
