"","y","x1","x2","x3","x4","x5","x6","x7"
"1",-8.1e-05,0.0105,90.9,0.0164,0.0177,0.00470646459576862,89.0520132121168,0.00359370917510241
"2",-6.6e-05,0.011,84.6,0.0165,0.0172,0.00543975065807519,99.4918218592656,0.00273306550935376
"3",2.00000000000005e-06,0.0106,88.9,0.0164,0.0157,0.00461613238646715,91.8297118148375,0.0147439729220234
"4",0.000261,0.0116,488.7,0.0187,0.0082,0.00462904479979741,473.628467298745,0.00190995556628332
"5",0.000247,0.0121,454.4,0.0187,0.007,0.00568133977617112,472.020642713913,0.0156814400739502
"6",0.000257,0.0123,439.2,0.0187,0.0065,0.00580438809653264,441.394638368827,0.00904563857668545
"7",0.00024,0.0122,447.1,0.0186,0.0071,0.00564232572389717,444.83335557495,0.0148435242786538
"8",0.00024,0.0122,451.6,0.0187,0.0062,0.00567333397443631,462.201445247215,0.0109814273120835
"9",0.000756,0.0123,487.8,0.0192,0.0153,0.00534383381947596,498.566516616457,0.00908371894061565
"10",0.000869,0.0122,467.6,0.0192,0.0129,0.00531682511846851,483.217879707108,0.00877444244474172
"11",8.3e-05,0.0094,95.4,0.0163,0.0354,0.00251016935282573,103.485120611224,0.00571332924349699
"12",5.9e-05,0.01,87.1,0.0162,0.0342,0.00367249275650226,90.5408071558139,0.00726178902899846
"13",9.70000000000001e-05,0.0101,82.7,0.0162,0.0323,0.00386763498681727,71.906290163684,0.0114637923762202
"14",1e-04,0.0099,87,0.0163,0.0337,0.00357794856170262,73.0346791894746,0.0141369723646669
"15",0.000881,0.011,516.4,0.019,0.0161,0.00296500480472475,518.474372512655,0.00609687148383819
"16",0.000807,0.0117,488.4,0.0189,0.0149,0.00452179518780781,485.064775246994,0.00576033471948467
"17",0.000907,0.011,534.5,0.0189,0.0163,0.00315250111911233,530.112710814866,0.00745075913784094
"18",0.001083,0.0104,542.3,0.0189,0.0164,0.00192015587883927,547.312610075888,0.0147017968553351
"19",0.000478,0.0067,98.8,0.0163,0.0379,-0.00298185087061582,90.347393038326,0.0100795933643123
"20",0.000653,0.0066,84.8,0.0162,0.036,-0.00305764668189897,106.358695421635,0.00680026133847423
"21",0.001772,0.0044,69.6,0.0163,0.0327,-0.00771643677317695,64.011866998209,0.00947488876397256
"22",0.002397,0.0073,436.9,0.0189,0.0263,-0.00426318285033345,420.160876789075,0.000878587130620144
"23",0.002627,0.0078,406.3,0.0192,0.02,-0.00351288934274109,419.95565955126,0.00816344165056944
"24",0.002878,0.0067,447.9,0.0192,0.0197,-0.00576769945054223,452.423699992292,0.017739158128202
"25",0.000918,0.0091,58.5,0.0164,0.0331,0.00188804699863169,57.5102488469634,0.00819810922788456
"26",0.000566,0.0079,394.3,0.0177,0.0674,-0.00173861357221544,400.276902219157,0.0069532269185409
"27",0.000325,0.0068,461,0.0174,0.077,-0.00395318954837195,447.833436491661,0.00997272626990452
"28",0.000385,0.0065,469.2,0.0173,0.078,-0.00431378604170403,465.652799552611,0.0134608799797948
